PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Neukom, MT; Schiller, A; Zufle, S; Knapp, E; Avila, J; Perez-del-Rey, D; Dreessen, C; Zanoni, KPS; Sessolo, M; Bolink, HJ; Ruhstaller, B",,,,"Neukom, Martin T.; Schiller, Andreas; Zufle, Simon; Knapp, Evelyne; Avila, Jorge; Perez-del-Rey, Daniel; Dreessen, Chris; Zanoni, Kassio P. S.; Sessolo, Michele; Bolink, Henk J.; Ruhstaller, Beat",,,"Consistent Device Simulation Model Describing Perovskite Solar Cells in Steady-State, Transient, and Frequency Domain",ACS APPLIED MATERIALS & INTERFACES,,,,,,,,,,,,"A variety of experiments on vacuum-deposited methylammonium lead iodide perovskite solar cells are presented, including JV curves with different scan rates, light intensity-dependent open-circuit voltage, impedance spectra, intensity-modulated photocurrent spectra, transient photocurrents, and transient voltage step responses. All these experimental data sets are successfully reproduced by a charge drift-diffusion simulation model incorporating mobile ions and charge traps using a single set of parameters. While previous modeling studies focused on a single experimental technique, we combine steady-state, transient, and frequency-domain simulations and measurements. Our study is an important step toward quantitative simulation of perovskite solar cells, leading to a deeper understanding of the physical effects in these materials. The analysis of the transient current upon voltage turn-on in the dark reveals that the charge injection properties of the interfaces are triggered by the accumulation of mobile ionic defects. We show that the current rise of voltage step experiments allow for conclusions about the recombination at the interface. Whether one or two mobile ionic species are used in the model has only a minor influence on the observed effects. A delayed current rise observed upon reversing the bias from +3 to -3 V in the dark cannot be reproduced yet by our drift-diffusion model. We speculate that a reversible chemical reaction of mobile ions with the contact material may be the cause of this effect, thus requiring a future model extension. A parameter variation is performed in order to understand the performance-limiting factors of the device under investigation.",,,,"; Sessolo, Michele/P-8911-2014; Bolink, Henk/L-7618-2014","Neukom, Martin/0000-0002-9454-3545; Sessolo, Michele/0000-0002-9189-3005; Bolink, Henk/0000-0001-9784-6253; Schiller, Andreas/0000-0001-5261-933X",,,,,,,,,,,,1944-8244,1944-8252,,,,3-Jul,2019,11,26,,,,,23320,23328,,10.1021/acsami.9b04991,,,,,,,,WOS:000474670100046,31180209,,,,
J,"Shin, YS; Yoon, YJ; Lee, KT; Jeong, J; Park, SY; Kim, GH; Kim, JY",,,,"Shin, Yun Seop; Yoon, Yung Jin; Lee, Kang Taek; Jeong, Jaeki; Park, Song Yi; Kim, Gi-Hwan; Kim, Jin Young",,,Vivid and Fully Saturated Blue Light-Emitting Diodes Based on Ligand-Modified Halide Perovskite Nanocrystals,ACS APPLIED MATERIALS & INTERFACES,,,,,,,,,,,,"CsPbX3 (X = I, Br, Cl) perovskite nanocrystals (NCs) have recently emerged as emitting materials for optoelectronic and display applications owing to their easily tunable emissions, high photoluminescence quantum yield (PLQY), and vivid color purity (full width at half maximum of approximately 20 nm). However, the lagging quantum yields of blue-emitting perovskite NCs have resulted in low efficiency compared to green or red perovskite light-emitting diodes (PeLEDs); moreover, the long insulating ligands (such as oleylamine and oleic acid) inhibit charge carrier injection. In this study, we demonstrated a facile ligand-mediated post-treatment (LMPT) method for high-quality perovskite NCs with changing optical properties to allow fine-tuning of the target emission wavelength. This method involves the use of a mixed halide ion-pair ligand, di-dodecyl dimethyl ammonium bromide, and chloride, which can induce a reconstruction through a self-anion exchange. Using the LMPT method, the PLQY of the surface-passivated blue-emitting NCs was dramatically enhanced to over 70% within the 485 nm blue emission region and 50% within the 467 nm deep-blue emission region. Through this treatment, we achieved highly efficient blue-PeLED maximum external quantum efficiencies of 0.44 and 0.86% within the 470 and 480 +/- 2 nm electroluminescence emission regions, respectively.",,,,,,,,,,,,,,,,,1944-8244,1944-8252,,,,3-Jul,2019,11,26,,,,,23401,23409,,10.1021/acsami.9b04329,,,,,,,,WOS:000474670100055,31252491,,,,
J,"Ercan, E; Tsai, PC; Chen, JY; Lam, JY; Hsu, LC; Chueh, CC; Chen, WC",,,,"Ercan, Ender; Tsai, Ping-Chun; Chen, Jung-Yao; Lam, Jeun-Yen; Hsu, Li-Che; Chueh, Chu-Chen; Chen, Wen-Chang",,,Stretchable and Ambient Stable Perovskite/Polymer Luminous Hybrid Nanofibers of Multicolor Fiber Mats and Their White LED Applications,ACS APPLIED MATERIALS & INTERFACES,,,,,,,,,,,,"We report the fabrication and optical/mechanical properties of perovskite/thermoplastic polyurethane (TPU)-based multicolor luminescent core shell nanofibers and their large-scale fiber mats. One-step coaxial perovskite/TPU nanofibers had a high photoluminescence quantum yield value exceeding 23.3%, surpassing that of its uniaxial counterpart, due to the homogeneous distribution of perovskite nanoparticles (NPs) by the confinement of the TPU shell. The fabricated core shell nanofibers exhibited a high mechanical endurance owing to the well elastic properties of TPU and maintained the luminescence intensity even under a 100% stretched state after 1000 stretching relaxing cycles. By taking advantage of the hydrophobic nature of TPU, the ambient and moisture stability of the fabricated fibers were enhanced up to 1 month. Besides, large-area stretchable nanofibers with a dimension of 15 cm x 30 cm exhibiting various visible-light emission peaks were fabricated by changing the composition of perovskite NPs. Moreover, a large-scale luminescent and stretchable fiber mat was successfully fabricated by electrospinning. Furthermore, the white-light emission from the fabricated fibers and mats was achieved by incorporating orange-light-emitting poly[2-methoxy-5-(2-ethylhexyloxy)-1,4-phenylenevinylene] into the TPU shell and coupling the turquoise blue-light-emitting perovskite NPs in the core site. Finally, the integrity of the perovskite-based TPU fibers was realized by fabricating a light-emitting diode (LED) device containing the orange-light-emitting fibers embedded in the polyfluorene emissive layer. This work demonstrated an effective way to prepare stable and stretchable luminous nanofibers and the integration of such nanofibers into LED devices, which could facilitate the future development of wearable electronic devices.",,,,"Chen, Jung-Yao/I-9396-2018","Chen, Jung-Yao/0000-0002-5746-2885",,,,,,,,,,,,1944-8244,1944-8252,,,,3-Jul,2019,11,26,,,,,23605,23615,,10.1021/acsami.9b05527,,,,,,,,WOS:000474670100076,31252500,,,,
J,"Lee, I; Rolston, N; Brunner, PL; Dauskardt, RH",,,,"Lee, Inhwa; Rolston, Nicholas; Brunner, Pierre-Louis; Dauskardt, Reinhold H.",,,Hole-Transport Layer Molecular Weight and Doping Effects on Perovskite Solar Cell Efficiency and Mechanical Behavior,ACS APPLIED MATERIALS & INTERFACES,,,,,,,,,,,,"The effect of tuning molecular weight (M-n) in poly[bis (4-phenyl) (2,4,6-trimethylphenyl)amine] (PTAA) to increase both mechanical properties of the film and electrical properties of perovskite solar cells is reported. Perovskite solar cell devices are fabricated to investigate the effect of M-n on power conversion efficiency. Moisture stability for various M-n is also studied in PTAA films exposed to mechanical loads in humid environments. Furthermore, cohesion and tensile tests are employed to determine the mechanical properties of PTAA, where higher M-n leads to more robust films. To elucidate the effect of M-n on the debonding kinetics, a viscoelastic fracture kinetic model is proposed as a function of M-n, and the debonding mechanism is found to be dependent on M-n. Finally, the effect of small-molecule-based dopants on the mechanical stability of PTAA is investigated.",,,,,,,,,,,,,,,,,1944-8244,1944-8252,,,,3-Jul,2019,11,26,,,,,23757,23764,,10.1021/acsami.9b05567,,,,,,,,WOS:000474670100092,31184460,,,,
J,"Meng, HG; Pang, SP; Cui, GL",,,,"Meng, Hongguang; Pang, Shuping; Cui, Guanglei",,,Photo-Supercapacitors Based on Third-Generation Solar Cells,CHEMSUSCHEM,,,,,,,,,,,,"Photopowered energy systems (PPESs), which simultaneously achieve power conversion and energy storage, are one of the most promising auxiliaries to fulfill the giant and diversified power demand in modern society. Devices with a low cost, wearable, compact structure and the potential to add a variety of features (such as photochromic, flexible, textile, and wearable) have received extensive research attention. Photo-supercapacitors are becoming one of the most extensively researched PPESs due to their ease of fabrication, mitigation of solar irradiation discontinuities, and the promotion of renewable energy utilization, and these devices have been fabricated with different combinations of photovoltage devices and energy-storage technologies. This review summarizes the development of photo-supercapacitors that integrate third-generation solar cells and supercapacitors, with a focus on materials alignment, performance, structure design, and application. Finally, current challenges, possible solutions, and future perspectives are discussed.",,,,,,,,,,,,,,,,,1864-5631,1864-564X,,,,,,,,,,,,,,,10.1002/cssc.201900398,,JULY,2019,,,,,WOS:000473930500001,31025513,,,,
J,"Song, Q; Liang, CJ; Zhang, HM; Ji, C; Sun, MJ; Sun, FL; Jing, XP; You, FT; Lu, YW; He, ZQ",,,,"Song, Qi; Liang, Chunjun; Zhang, Huimin; Ji, Chao; Sun, Mengjie; Sun, Fulin; Jing, Xiping; You, Fangtian; Lu, Yanwu; He, Zhiqun",,,Additional Organic-Solvent-Rinsing Process to Enhance Perovskite Photovoltaic Performance,ADVANCED ELECTRONIC MATERIALS,,,,,,,,,,,,"Methylammonium lead iodide (MAPbI(3)) perovskite is manipulated through an additional organic-solvent-rinsing process during an intermediate film fabrication stage. This additional process includes low-temperature preannealing following by rinsing the films using isobutyl alcohol (IBA) before final annealing. This partially dissolves the small crystals in the perovskite intermediate and reduces nucleation density. The small crystals recrystallize into larger sizes via a dissolution-crystallization mechanism, leading to a reduction in the grain boundaries and interfacial defects. Preannealing is also crucial in solubility control and for tuning the crystallization. Crystal-size-dependent optical band gaps may be attributed to a weak quantum confinement effect. Excess PbI2 residue is induced at the perovskite surface thanks to the selective solubility of IBA, which improves the passivation of the perovskite surface. A synergistic improvement in grain size and in PbI2 residue leads to substantial enhancement in device performance. The power conversion efficiency of an optimized photovoltaic device reaches 18.47%, which is more than a 15% increase compared to a control device.",,,,,,,,,,,,,,,,,2199-160X,,,,,,,,,,,,,,,1900244,10.1002/aelm.201900244,,JULY,2019,,,,,WOS:000474066100001,,,,,
J,"Chen, DZ; Fan, G; Zhang, HX; Zhou, L; Zhu, WD; Xi, H; Dong, H; Pang, SZ; He, XN; Lin, ZH; Zhang, JC; Zhang, CF; Hao, Y",,,,"Chen, Dazheng; Fan, Gang; Zhang, Hongxiao; Zhou, Long; Zhu, Weidong; Xi, He; Dong, Hang; Pang, Shangzheng; He, Xiaoning; Lin, Zhenhua; Zhang, Jincheng; Zhang, Chunfu; Hao, Yue",,,Efficient Ni/Au Mesh Transparent Electrodes for ITO-Free Planar Perovskite Solar Cells,NANOMATERIALS,,,,,,,,,,,,"Indium thin oxide (ITO)-free planar perovskite solar cells (PSCs) were fabricated at a low temperature (150 degrees C) in this work based on the transparent electrode of photolithography processed nickel/gold (Ni/Au) mesh and the high conductivity polymer, PH1000. Ultrathin Au was introduced to increase the conductivity of metal mesh, and the optimal hexagonal Ni (30 nm)/Au (10 nm) mesh (line width of 5 mu m) shows a transmittance close to 80% in the visible light region and a sheet resistance lower than 16.9 Omega/sq. The conductive polymer PH1000 not only smooths the raised surface of the metal mesh but also enhances the charge collection ability of metal mesh. The fabricated PSCs have the typical planar structure (glass/Ni-Au mesh/PH1000/PEDOT:PSS/MA(y)FA(1-y)PbI(x)Cl(3-x)/PCBM/BCP/Ag) and the champion PSC (0.09 cm(2)) obtains a power conversion efficiency (PCE) of 13.88%, negligible current hysteresis, steady current density and PCE outputs, and good process repeatability. Its photovoltaic performance and stability are comparable to the reference PSC based on the ITO electrodes (PCE = 15.70%), which demonstrates that the Ni/Au mesh transparent electrodes are a promising ITO alternative to fabricate efficient PSCs. The relatively lower performance of Ni/Au based PSC results from the relatively slower charge extraction and stronger charge recombination than the ITO based PSC. Further, we tried to fabricate the large area (1 cm(2)) device and achieve a PCE over 6% with negligible hysteresis and steady current density and PCE outputs. The improvements of perovskite film quality and interface modification should be an effective approach to further enhance the device performance of Ni/Au based PSCs, and the Ni/Au mesh electrode may find wider applications in PSCs and flexible devices.",,,,"Zhu, Weidong/H-2072-2018","Zhu, Weidong/0000-0002-3872-7323",,,,,,,,,,,,2079-4991,,,,,JUL,2019,9,7,,,,,,,932,10.3390/nano9070932,,,,,,,,WOS:000478992600020,31261660,,,,
J,"Guo, Y; Xue, YB; Li, XC; Li, CB; Song, HX; Niu, YS; Liu, H; Mai, XM; Zhang, JX; Guo, ZH",,,,"Guo, Yao; Xue, Yuanbin; Li, Xianchang; Li, Chengbo; Song, Haixiang; Niu, Yongsheng; Liu, Hu; Mai, Xianmin; Zhang, Jiaoxia; Guo, Zhanhu",,,Effects of Transition Metal Substituents on Interfacial and Electronic Structure of CH3NH3PbI3/TiO2 Interface: A First-Principles Comparative Study,NANOMATERIALS,,,,,,,,,,,,"To evaluate the influence of transition metal substituents on the characteristics of CH3NH3PbI3/TiO2, we investigated the geometrical and electronic properties of transition metal-substituted CH3NH3PbI3/TiO2 by first-principles calculations. The results suggested that the substitution of Ti4+ at the five-fold coordinated (Ti-5c) sites by transition metals is energetically favored. The substituted interface has enhanced visible light sensitivity and photoelectrocatalytic activity by reducing the transition energies. The transition metal substitution can effectively tune the band gap of the interface, which significantly improves the photo-reactivity. The substituted systems are expected to be more efficient in separating the photo-generated electrons-holes and active in the visible spectrum.",,,,,,,,,,,,,,,,,2079-4991,,,,,JUL,2019,9,7,,,,,,,966,10.3390/nano9070966,,,,,,,,WOS:000478992600054,31266249,,,,
J,"Shi, L; Hao, HY; Dong, JJ; Zhong, TT; Zhang, C; Hao, JB; Xing, J; Liu, H",,,,"Shi, Lei; Hao, Huiying; Dong, Jingjing; Zhong, Tingting; Zhang, Chen; Hao, Jiabin; Xing, Jie; Liu, Hao",,,"Solvent Engineering for Intermediates Phase, All-Ambient-Air-Processed in Organic-Inorganic Hybrid Perovskite Solar Cells",NANOMATERIALS,,,,,,,,,,,,"Intermediate phase is considered an important aspect to deeply understand the crystallization procedure in the growth of high-quality perovskite layers by an anti-solvent technique. However, the moisture influence on the intermediate phase formation is not clear in air conditions as yet. In this work, pure (FA(0.2)MA(1.8))Pb3X8(DMSODMF) intermediate phase was obtained in as-prepared perovskite film by spin-coating the precursor of co-solvent (DMSO and DMF) in an ambient air (RH20-30%). Moreover, the appropriate quantity of ethyl acetate (C4H8O2, EA) also controls the formation of pure intermediate phase. The uniform and homogeneous perovskite film was obtained after annealing this intermediate film. Therefore, the best power conversion efficiency (PCE) of perovskite solar cells (PSCs) is 16.24% with an average PCE of 15.53%, of which almost 86% of its initial PCE was preserved after 30 days in air conditions. Besides, the steady-state output efficiency ups to 15.38% under continuous illumination. In addition, the PCE of large area device (100 mm(2)) reaches 11.11% with a little hysteresis effect. This work would give an orientation for PSCs production at the commercial level, which could lower the cost of fabricating the high efficiency PSCs.",,,,,,,,,,,,,,,,,,2079-4991,,,,JUL,2019,9,7,,,,,,,915,10.3390/nano9070915,,,,,,,,WOS:000478992600003,31247946,,,,
J,"Wang, K; Chen, HR; Niu, TT; Wang, S; Guo, X; Wang, H",,,,"Wang, Kai; Chen, Haoran; Niu, Tingting; Wang, Shan; Guo, Xiao; Wang, Hong",,,Dopant-Free Hole Transport Materials with a Long Alkyl Chain for Stable Perovskite Solar Cells,NANOMATERIALS,,,,,,,,,,,,"Hole transport materials are indispensable to high efficiency perovskite solar cells. Two new hole transporting materials (HTMs), named 4,4 '-(9-nonyl-9H-carbazole-3,6-diyl)bis (N,N-bis(4-methoxyphenyl)aniline) (CZTPA-1) and 4,4 '-(9-methyl-9H-carbazole-3,6-diyl)bis (N,N-bis(4-methoxyphenyl)aniline)(CZTPA-2), were developed by different alkyl substitution methods. The two compounds, containing a carbazole core and triphenylamine (TPA) groups with different lengths of the alkyl chain, were designed and synthesized through a two-step synthesis approach. The power conversion efficiency (PCE) was found to be affected by the length of the alkyl chain, reaching 7% for CZTPA-1 and 11% for CZTPA-2. Furthermore, the CZTPA-2 still maintained 89.7% of its original performance after 400 h. The proposed results demonstrate the effect of carbon chain substituents on the efficiency of perovskite solar cells (PSCs).",,,,,,,,,,,,,,,,,2079-4991,,,,,JUL,2019,9,7,,,,,,,935,10.3390/nano9070935,,,,,,,,WOS:000478992600023,31261694,,,,
