PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Saaid, FI; Tseng, TY; Winie, T",,,,"Saaid, Farish Irfal; Tseng, Tseung-Yuen; Winie, Tan",,,PVdF-HFP QUASI-SOLID-STATE ELECTROLYTE FOR APPLICATION IN DYE-SENSITIZED SOLAR CELLS,INTERNATIONAL JOURNAL OF TECHNOLOGY,,,,,,,,,,,,"A quasi-solid-state polymer electrolyte is prepared by incorporating poly(vinylidene fluoride-co-hexafluoropropylene) (PVdF-HFP) in a propylene carbonate (PC) / 1,2-dimethoxyethane (DME) / 1-methyl-3-propylimidazolium iodide (MPII) liquid electrolyte. The amount of PVdF-HFP in the liquid electrolyte is varied from 0.1 to 0.4 g. Incorporation of 0.1 g of PVdF-HFP decreases the conductivity of the DME/PC/MPII liquid electrolyte from 1.3 x10(-2) to 5.6x10(-3) S cm(-1). Conductivity decreases gradually with increasing PVdF-HFP. No-flow ""jelly-like"" electrolyte samples are obtained for PVdF-HFP >= 0.2 g. The decrease in conductivity is the result of the decrease in ion mobility. Ion mobility was calculated by impedance spectroscopy. The PVdF-HFP quasi-solid-state electrolytes were assembled into dye sensitized solar cells (DSSCs). The performance of the DSSCs was measured under illumination of a 100 mW cm(-2) Xenon light source. The DSSC without PVdF-HFP polymer shows an efficiency of 4.88% with short-circuit current density, J(sc) of 11.24 mA cm(-2), fill factor, FF of 70% and open circuit voltage, V-oc of 619 mV. The presence of PVdF-HFP deteriorates the performance of DSSCs, but problems such as electrolyte leakage and volatilization are eliminated. The performance of DSSCs was found to be correlated to the conductivity behaviour of the electrolyte.",,,,,,,,,,,,,,,,,2086-9614,2087-2100,,,,DEC,2018,9,6,,,,,1187,1195,,10.14716/ijtech.v9i6.2344,,,,,,,,WOS:000453041300012,,,,,
J,"Wu, KZ; Zhao, JJ; Xiong, YY; Ruan, B; Wu, MX",,,,"Wu, Kezhong; Zhao, Jiajing; Xiong, Yuanyuan; Ruan, Bei; Wu, Mingxing",,,Synthesis and performance of La2O3@MWCNT composite materials as Pt-free counter electrodes for dye-sensitized solar cells,IONICS,,,,,,,,,,,,"Pt-free composite counter electrode (CE) composed of La2O3 was successfully synthesized by a simple pyrolysis of Lanthanum acetate hydrate (La(CH3COO)(3) xH( 2)O) in a high-temperature solid phase. Furthermore, three proportion composite catalysts of La2O3@MWCNTs based on La2O3 and multiwall carbon nanotubes (MWCNTs) were prepared and characterized as Pt-free catalysts for CE in dye-sensitized solar cells (DSSCs). The morphology and structure of La2O3@MWCNT composites were determined by scanning electron microscopy and X-ray diffraction. The electrochemical performance of La2O3@MWCNT composite catalysts for CEs was determined by photocurrent-voltage measurements, cyclic voltammetry, electrochemical impedance spectroscopy, and Tafel polarization. The experimental results showed that the power conversion efficiencies of 5.20, 5.12, and 4.70% were obtained for La2O3: MWCNTs with mass ratios of 5:1, 3:1, and 1:1 as counter electrode towards the reduction of I-3(-)/I- ions respectively in the encapsulation of DSSC batteries, which were higher than that of MWCNTs (3.94%) and La2O3 (0.77%) electrode under the similar conditions. The enhanced electrode performance was attributed to relatively larger surface area and higher conductivity of La2O3@MWCNT composite catalysts.",,,,,,,,,,,,,,,,,0947-7047,1862-0760,,,,DEC,2018,24,12,,,,,4055,4061,,10.1007/s11581-018-2549-8,,,,,,,,WOS:000450111000034,,,,,
J,"Zainudin, SNF; Abdullah, H; Markom, M; Ahmad, M",,,,"Zainudin, S. N. F.; Abdullah, H.; Markom, M.; Ahmad, M.",,,Temperature dependency of SnO2/NiO/MWCNT nanocomposite thin film for dye-sensitised solar cells,IONICS,,,,,,,,,,,,"A series of SnO2/NiO-doped MWCNT heterojunctions were prepared in various process temperatures, and dye-sensitised solar cells (DSSCs) were fabricated with dye N719. All samples were characterised by X-ray diffraction (XRD), scanning electron microscopy (SEM) and atomic force microscopy (AFM). Under the irradiation of 100mWcm(-2), the short-circuit photocurrent density (J(sc)) and overall conversion efficiency (?) were improved when the aging temperature increased from 30 to 40(degrees)C. Nevertheless, decreasing J(sc) were revealed when the growth temperature was further increased over 40(degrees)C. In contrast, the conversion efficiency was found to increase gradually when the temperature was further increased over 60(degrees)C. The kinetic parameters of electron transport were investigated using the transient photoelectrical and electrical impedance measurements. The effect of process temperature on electron transport performance in DSSCs was discussed elaborately. The results showed that when the process temperature was in the range of 30 to 40(degrees)C, the electron lifetime (tau) in DSSCs was increased. Conversely, these parameters decreased gradually with further increase in process temperature that influenced the electronic transport performance of DSSCs.",,,,"Abdullah, Huda/H-9717-2016",,,,,,,,,,,,,0947-7047,1862-0760,,,,DEC,2018,24,12,,,,,4063,4069,,10.1007/s11581-018-2522-6,,,,,,,,WOS:000450111000035,,,,,
J,"Murugadoss, V; Arunachalam, S; Elayappan, V; Angaiah, S",,,,"Murugadoss, Vignesh; Arunachalam, Subasri; Elayappan, Vijayakumar; Angaiah, Subramania",,,Development of electrospun PAN/CoS nanocomposite membrane electrolyte for high-performance DSSC,IONICS,,,,,,,,,,,,"In the present work, we prepared electrospun polyacrylonitrile (PAN)/ cobalt sulfide (CoS) nanocomposite membranes by encapsulating different weight percentage (1, 2, and 3wt%) of CoS nanoparticles in PAN nanofibers for dye-sensitized solar cells (DSSCs). The electrospun PAN/CoS nanocomposite membranes (esCPMs) were activated by immersing in an ionic liquid electrolyte containing 0.5M LiI, 0.05M I-2, 0.5M 4-tert butylpyridine and0.5M 1-butyl-3-methylimidazolium iodide in acetonitrile to obtain their corresponding nanocomposite membrane electrolytes (esCPMEs). The influences of CoS content on the physical and electrochemical properties of esPM were investigated. The addition of CoS nanoparticles reduced the degree of partial crystallinity of esPM to an amorphous state. An electrochemical impedance and Tafel polarization measurements revealed that the esCPME has high electrocatalytic activity with enhanced ionic conductivity. The 2wt% CoS encapsulated esCPME ensured the effective charge transfer at the electrode/electrolyte interface with the lower electron recombination rate in DSSC, which ultimately increased the photoconversion efficiency (7.41%) at an incident light intensity of 100mWcm(-2).",,,,"E, Vijayakumar/G-3755-2012; Murugadoss, Vignesh/O-7754-2018","E, Vijayakumar/0000-0001-9014-4419; Murugadoss, Vignesh/0000-0001-7817-4113; Angaiah, Subramania/0000-0002-0855-752X",,,,,,,,,,,,0947-7047,1862-0760,,,,DEC,2018,24,12,,,,,4071,4080,,10.1007/s11581-018-2540-4,,,,,,,,WOS:000450111000036,,,,,
J,"Son, CH; Thogiti, S; Chitumalla, RK; Koyyada, G; Cheruku, R; Jang, J; Jung, JH; Kim, JH",,,,"Son, Chang Hee; Thogiti, Suresh; Chitumalla, Ramesh Kumar; Koyyada, Ganesh; Cheruku, Rajesh; Jang, Joonkyung; Jung, Jae Hak; Kim, Jae Hong",,,Synthesis and investigation of anchoring unit effect in blue-colored isoindigo-based D-A-pi-A organic dyes for dye-sensitized solar cells,JAPANESE JOURNAL OF APPLIED PHYSICS,,,,,,,,,,,,"Isoindigo-based blue colored organic dyes (IND-B, IND-T, and IND-I) with different electron acceptors such as 2-cyanoacetic acid/carboxylated 1,3-indandione bridged through benzene or thiophene pi-spacers were synthesized and applied in dye-sensitized solar cells (DSSCs). The photoelectrochemical performances and charge transport properties revealed that the device fabricated with IND-B sensitizer showed the highest power conversion efficiency of 3.37% among the three dyes. The diminished performance of IND-T and IND-I is partially attributed to the relatively lower lying LUMO level. The designated charge transport of the synthesized dyes secured from electrochemical impedance spectroscopy (EIS) analysis were found to be in accordance with experimentally attained photovoltaic parameters. (C) 2018 The Japan Society of Applied Physics",,,,"Chitumalla, Ramesh Kumar/I-3799-2013","Chitumalla, Ramesh Kumar/0000-0002-9523-7056; cheruku, rajesh/0000-0003-4999-5574",,,,,,,,,,,,0021-4922,1347-4065,,,,DEC,2018,57,12,,,,,,,122302,10.7567/JJAP.57.122302,,,,,,,,WOS:000450308000001,,,,,
J,"Hoseinzadeh, T; Solaymani, S; Kulesza, S; Achour, A; Ghorannevis, Z; Talu, S; Bramowicz, M; Ghoranneviss, M; Rezaee, S; Boochani, A; Mozaffari, N",,,,"Hoseinzadeh, Tahereh; Solaymani, Shahram; Kulesza, Slawomir; Achour, Amine; Ghorannevis, Zohreh; Talu, Stefan; Bramowicz, Miroslaw; Ghoranneviss, Mahmood; Rezaee, Sahar; Boochani, Arash; Mozaffari, Niloofar",,,"Microstructure, fractal geometry and dye-sensitized solar cells performance of CdS/TiO2 nanostructures",JOURNAL OF ELECTROANALYTICAL CHEMISTRY,,,,,,,,,,,,"Titanium oxide (TiO2) nanotubes are attracting increased attention, among other wide band gap semiconductor for their use as photoanodes in dye-sensitized solar cells. In this study, semiconducting cadmium sulfide (CdS nanoparticles were synthesized on top of open TiO2 nanotubes arrays by radio frequency magnetron sputtering By tuning CdS deposition parameters and deep studying of CdS/TiO2 surface morphology and related surface statistical metrics, correlation between all morphological parameters and CdS/TiO2 nanostructures activity as photo-anode was illustrated for the first time. X-ray diffraction (XRD), scanning electron microscopy (SEM), transmission electron microscopy (TEM) and photoluminescence (PL) measurements were used to study crystalline structural, morphological and optical properties of the CdS/TiO2 nanostructures and later the sample with optimized properties was used as photo-anode in dye-sensitized solar cells.",,,,"Bramowicz, Miroslaw/M-6117-2019; Bramowicz, Miroslaw/N-4213-2018; ?alu, ?tefan/C-5583-2012","Bramowicz, Miroslaw/0000-0002-7716-544X; Bramowicz, Miroslaw/0000-0002-7716-544X; ?alu, ?tefan/0000-0003-1311-7657; solaymani, shahram/0000-0003-2922-7439; Rezaee, Sahar/0000-0001-5034-0810; Kulesza, Slawek/0000-0003-2889-5611; Mozaffari, Niloofar/0000-0003-2971-1669",,,,,,,,,,,,1572-6657,1873-2569,,,,1-Dec,2018,830,,,,,,80,87,,10.1016/j.jelechem.2018.10.037,,,,,,,,WOS:000451493800011,,,,,
J,"Rezaei, B; Soleimany, R; Ensafi, AA; Irannejad, N",,,,"Rezaei, Behzad; Soleimany, Reihaneh; Ensafi, Ali A.; Irannejad, Neda",,,Photocatalytic degradation enhancements of dyes with bi-functionalized zones of modified nanoflower like TiO2 with Pt-C3N4 under sunlight irradiation,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,,,,,,,,,,,,"In this work, a novel method was proposed to photodegradation of organic dyes as important pollutants in wastewaters of textile industries. A one-step hydrothermal method was used to directly synthesis nanoflower like TiO2 on ordinary glass (OG) and modified with Pt-C3N4 nanotubes (NFs TiO2/Pt-C3N4) via electrophoretic deposition (EPD) method. Its photocatalytic activity investigated for degradation of three dyes under sunlight irradiation. The properties of NFs TiO2/Pt-C3N4 NTs were characterized by SEM, FT-IR, EDS, and XRD. Reduction of band gap energy and improvement of light absorption in the visible region for the modified photocatalyst were evaluated by using Tauc's plot method. The experimental result showed that the NFs TiO2/Pt-C3N4 NTs achieved degradation efficiency of < 97% at 240 min, towards methylene blue (MB), methyl violet (MV) and malachite green (MG) which are higher than pure TiO2 (68%, 83%, and 71%, respectively). Also as a new strategy, a part of the NFs TiO2/Pt-C3N4 NTs was used as a photoanode of the dye-sensitized solar cell (DSSC) and the other part, placed at a solution as a degradation zone. So with this bi-functionalized system, the degradation time was reduced from 240 min to 120 min with the same degradation efficiency.",,,,,"REZAEI, BEHZAD/0000-0003-0055-0486",,,,,,,,,,,,2213-2929,2213-3437,,,,DEC,2018,6,6,,,,,7010,7020,,10.1016/j.jece.2018.11.008,,,,,,,,WOS:000452071800026,,,,,
J,"Wang, WQ; Yang, J",,,,"Wang, Wenqi; Yang, Jie",,,Morphology-controlled growth of Co3S4 as highly efficient counter electrode catalysts for dye-sensitized solar cells,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,,,,,,,,,,,,"The photoelectric conversion efficiency of dye-sensitized solar cells is affected by the catalytic ability of counter electrode materials. Therefore, it is crucial to develop inexpensive and highly efficient counter electrode materials. In this article, we successfully prepared the Co3S4 with different morphologies (nanosheet and nanoflower). Scanning electron microscopy images display that the Co3S4 nanoflowers have a special spatial structure, which has more reactive sites than the Co3S4 nanosheets. The Co3S4 samples were used as counter electrodes (CEs) for dye-sensitized solar cells (DSSCs), and the photoelectric conversion efficiency of the DSSCs was tested. The DSSC assembled with the Co3S4 nanoflowers CE shows superior power conversion efficiency (PCE) of 7.09% than the Co3S4 nanosheets and Pt CEs under AM 1.5G irradiation, which indicate that the Co3S4 nanoflowers performed outstanding catalytic actives.",,,,,,,,,,,,,,,,,0957-4522,1573-482X,,,,DEC,2018,29,23,,,,,19867,19872,,10.1007/s10854-018-0116-8,,,,,,,,WOS:000448831000031,,,,,
J,"Abraham, N; Unni, C; Philip, D",,,,"Abraham, Nelsa; Unni, C.; Philip, Daizy",,,Studies on bandgap tuning of visible light active heterojunction CuO/ZnO nanocomposites for DSSC application,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,,,,,,,,,,,,"Hetero-junction CuO/ZnO nanocomposites have been synthesized by simple solution based two-step method in the weight ratios 1:3, 1:2 and 1:1. The crystallite phases of the constituent nanomaterials are confirmed by X-ray diffraction. Increase of CuO content shows significant changes in the absorption spectra with exciton and plasmon related bands of ZnO and CuO, respectively. The compositional analysis and surface chemical states have been probed using X-ray photo electron spectroscopy (XPS). The bandgap is found to decrease with the increase of CuO content. The hybrid system is found to be suitable for absorbing a wide region of incident light with its enhanced absorption characteristics. The synthesized composites show suppression of the broad green band emission from ZnO near to the plasmon band of CuO, enhancing the charge separation which can further minimize charge loss due to recombination. The shift and asymmetry related to Raman bands give a clear idea about the crystallinity and coupling between phonon and continuum level created by the CuO. This coupled system could serve as an efficient photoanode material for dye sensitized solar cells with enhanced efficiency. Among the three composites, 2:1 sample exhibits maximum efficiency.",,,,,,,,,,,,,,,,,0957-4522,1573-482X,,,,DEC,2018,29,24,,,,,21002,21013,,10.1007/s10854-018-0245-0,,,,,,,,WOS:000449273300054,,,,,
J,"Liow, KS; Sipaut, CS; Jafarzadeh, M",,,,"Liow, Kai Sing; Sipaut, Coswald Stephen; Jafarzadeh, Mohammad",,,Polypyrrole- and polyaniline-surface modified nanosilica as quasi-solid state electrolyte ingredients for dye-sensitized solar cells,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,,,,,,,,,,,,"Polyurethane nanocomposites were formulated to entrap liquid electrolyte for quasi-solid state electrolytes (QSEs) in dye-sensitized solar cells (DSSCs). Polypyrrole- and polyaniline-surface engineered silica nanoparticles (NPs) were each incorporated to form polyurethane nanocomposites. The formation of nanosilica and its surface modification, as well as the size, aggregation, and isoelectric point of the synthesized NPs were analyzed using ATR-FTIR, TEM, and DLS. In addition, the filler (silica)-matrix (polyurethane) interaction, NP distribution, surface morphology, surface porosity, and the thermal stability of the polyurethane nanocomposite were analyzed by ATR-FTIR, transmitted and reflected light microscopes, imageJ, and TGA. The polymer matrix absorptivity, conductivity, and ion diffusion of the polyurethane nanocomposite-based QSE was investigated by using a digital analytical balance, the AC impedance method, and the cyclic voltammetry. Lastly, all of the formulated QSEs were applied in DSSCs and their photovoltaic performance was measured. The QSE based on polyaniline-surface engineered nanosilica demonstrated the highest light-to-energy conversion efficiency, namely 3.10%, with an open circuit voltage of 715mV, a short circuit current of 3.88mAcm(-2), and a fill factor of 0.67. A reasonable lifespan stability was also found for 100min illumination and a corresponding efficiency of 2.47% obtained.",,,,"Jafarzadeh, Mohammad/F-9804-2012","Jafarzadeh, Mohammad/0000-0002-4976-1789",,,,,,,,,,,,0957-4522,1573-482X,,,,DEC,2018,29,24,,,,,21097,21108,,10.1007/s10854-018-0258-8,,,,,,,,WOS:000449273300064,,,,,
